,district,Year,month,Visitors,district_1
693,Jogulamba Gadwal ,2017,July,160182,Jogulamba Gadwal 
1243,Jogulamba Gadwal ,2017,December,214887,Jogulamba Gadwal 
473,Jogulamba Gadwal ,2017,May,131426,Jogulamba Gadwal 
364,Kamareddy ,2017,April,46,Kamareddy 
914,Kamareddy ,2017,September,41,Kamareddy 
804,Kamareddy ,2017,August,40,Kamareddy 
34,Kamareddy ,2017,January,58,Kamareddy 
144,Kamareddy ,2017,February,50,Kamareddy 
1024,Kamareddy ,2017,October,38,Kamareddy 
694,Kamareddy ,2017,July,41,Kamareddy 
1244,Kamareddy ,2017,December,41,Kamareddy 
584,Kamareddy ,2017,June,41,Kamareddy 
1134,Kamareddy ,2017,November,43,Kamareddy 
474,Kamareddy ,2017,May,60,Kamareddy 
254,Kamareddy ,2017,March,41,Kamareddy 
365,Karimnagar ,2017,April,8630,Karimnagar 
145,Karimnagar ,2017,February,10845,Karimnagar 
35,Karimnagar ,2017,January,14425,Karimnagar 
585,Karimnagar ,2017,June,10542,Karimnagar 
1025,Karimnagar ,2017,October,8371,Karimnagar 
695,Karimnagar ,2017,July,12350,Karimnagar 
1245,Karimnagar ,2017,December,13065,Karimnagar 
1135,Karimnagar ,2017,November,8705,Karimnagar 
805,Karimnagar ,2017,August,10952,Karimnagar 
475,Karimnagar ,2017,May,8890,Karimnagar 
255,Karimnagar ,2017,March,9625,Karimnagar 
915,Karimnagar ,2017,September,7576,Karimnagar 
1246,Khammam,2017,December,137825,Khammam
696,Khammam,2017,July,105102,Khammam
586,Khammam,2017,June,138158,Khammam
146,Khammam,2017,February,115470,Khammam
1136,Khammam,2017,November,110800,Khammam
256,Khammam,2017,March,101878,Khammam
806,Khammam,2017,August,129159,Khammam
476,Khammam,2017,May,138799,Khammam
36,Khammam,2017,January,132528,Khammam
1026,Khammam,2017,October,155943,Khammam
916,Khammam,2017,September,140821,Khammam
366,Khammam,2017,April,135920,Khammam
1247,Komaram Bheem Asifabad,2017,December,4218,Komaram Bheem Asifabad
807,Komaram Bheem Asifabad,2017,August,3665,Komaram Bheem Asifabad
257,Komaram Bheem Asifabad,2017,March,2767,Komaram Bheem Asifabad
1027,Komaram Bheem Asifabad,2017,October,14050,Komaram Bheem Asifabad
37,Komaram Bheem Asifabad,2017,January,2241,Komaram Bheem Asifabad
587,Komaram Bheem Asifabad,2017,June,3796,Komaram Bheem Asifabad
917,Komaram Bheem Asifabad,2017,September,3934,Komaram Bheem Asifabad
1137,Komaram Bheem Asifabad,2017,November,3627,Komaram Bheem Asifabad
477,Komaram Bheem Asifabad,2017,May,3416,Komaram Bheem Asifabad
697,Komaram Bheem Asifabad,2017,July,3713,Komaram Bheem Asifabad
367,Komaram Bheem Asifabad,2017,April,3074,Komaram Bheem Asifabad
147,Komaram Bheem Asifabad,2017,February,2490,Komaram Bheem Asifabad
478,Mahabubabad ,2017,May,10220,Mahabubabad 
808,Mahabubabad ,2017,August,12520,Mahabubabad 
698,Mahabubabad ,2017,July,10170,Mahabubabad 
148,Mahabubabad ,2017,February,13045,Mahabubabad 
38,Mahabubabad ,2017,January,13260,Mahabubabad 
258,Mahabubabad ,2017,March,9100,Mahabubabad 
1028,Mahabubabad ,2017,October,13750,Mahabubabad 
1138,Mahabubabad ,2017,November,13560,Mahabubabad 
368,Mahabubabad ,2017,April,9140,Mahabubabad 
1248,Mahabubabad ,2017,December,13780,Mahabubabad 
588,Mahabubabad ,2017,June,10130,Mahabubabad 
918,Mahabubabad ,2017,September,13140,Mahabubabad 
