,district,Year,month,Visitors
1228,Nizamabad,2016,December,355
19,Peddapalli,2016,January,1081.333333
129,Peddapalli,2016,February,1081.333333
239,Peddapalli,2016,March,1081.333333
349,Peddapalli,2016,April,1081.333333
459,Peddapalli,2016,May,1081.333333
569,Peddapalli,2016,June,1081.333333
679,Peddapalli,2016,July,1081.333333
789,Peddapalli,2016,August,1081.333333
899,Peddapalli,2016,September,1081.333333
1009,Peddapalli,2016,October,950
1119,Peddapalli,2016,November,1145
1229,Peddapalli,2016,December,1149
20,Rajanna Sircilla ,2016,January,725600.3333
130,Rajanna Sircilla ,2016,February,725600.3333
240,Rajanna Sircilla ,2016,March,725600.3333
350,Rajanna Sircilla ,2016,April,725600.3333
460,Rajanna Sircilla ,2016,May,725600.3333
570,Rajanna Sircilla ,2016,June,725600.3333
680,Rajanna Sircilla ,2016,July,725600.3333
790,Rajanna Sircilla ,2016,August,725600.3333
900,Rajanna Sircilla ,2016,September,725600.3333
1010,Rajanna Sircilla ,2016,October,534484
1120,Rajanna Sircilla ,2016,November,864077
1230,Rajanna Sircilla ,2016,December,778240
21,Sangareddy ,2016,January,259333.3333
131,Sangareddy ,2016,February,259333.3333
241,Sangareddy ,2016,March,259333.3333
351,Sangareddy ,2016,April,259333.3333
461,Sangareddy ,2016,May,259333.3333
571,Sangareddy ,2016,June,259333.3333
681,Sangareddy ,2016,July,259333.3333
791,Sangareddy ,2016,August,259333.3333
901,Sangareddy ,2016,September,259333.3333
1011,Sangareddy ,2016,October,274000
1121,Sangareddy ,2016,November,349000
1231,Sangareddy ,2016,December,155000
22,Siddipet,2016,January,119466.6667
132,Siddipet,2016,February,119466.6667
242,Siddipet,2016,March,119466.6667
352,Siddipet,2016,April,119466.6667
462,Siddipet,2016,May,119466.6667
572,Siddipet,2016,June,119466.6667
682,Siddipet,2016,July,119466.6667
792,Siddipet,2016,August,119466.6667
902,Siddipet,2016,September,119466.6667
1012,Siddipet,2016,October,123500
1122,Siddipet,2016,November,154400
1232,Siddipet,2016,December,80500
23,Wanaparthy ,2016,January,20046
133,Wanaparthy ,2016,February,20046
243,Wanaparthy ,2016,March,20046
353,Wanaparthy ,2016,April,20046
463,Wanaparthy ,2016,May,20046
573,Wanaparthy ,2016,June,20046
683,Wanaparthy ,2016,July,20046
793,Wanaparthy ,2016,August,20046
903,Wanaparthy ,2016,September,20046
1013,Wanaparthy ,2016,October,21234
1123,Wanaparthy ,2016,November,18348
1233,Wanaparthy ,2016,December,20556
24,Warangal (Rural),2016,January,6466.666667
134,Warangal (Rural),2016,February,6466.666667
244,Warangal (Rural),2016,March,6466.666667
354,Warangal (Rural),2016,April,6466.666667
464,Warangal (Rural),2016,May,6466.666667
574,Warangal (Rural),2016,June,6466.666667
684,Warangal (Rural),2016,July,6466.666667
794,Warangal (Rural),2016,August,6466.666667
904,Warangal (Rural),2016,September,6466.666667
1014,Warangal (Rural),2016,October,8200
1124,Warangal (Rural),2016,November,6050
1234,Warangal (Rural),2016,December,5150
25,Warangal (Urban),2016,January,1985815
135,Warangal (Urban),2016,February,20703778
245,Warangal (Urban),2016,March,568397
355,Warangal (Urban),2016,April,317643
465,Warangal (Urban),2016,May,373788
575,Warangal (Urban),2016,June,365332
685,Warangal (Urban),2016,July,340320
795,Warangal (Urban),2016,August,368755
905,Warangal (Urban),2016,September,379210
1015,Warangal (Urban),2016,October,128247
1125,Warangal (Urban),2016,November,129250
1235,Warangal (Urban),2016,December,127500
26,Yadadri Bhongir,2016,January,576200
136,Yadadri Bhongir,2016,February,576200
246,Yadadri Bhongir,2016,March,576200
356,Yadadri Bhongir,2016,April,576200
466,Yadadri Bhongir,2016,May,576200
576,Yadadri Bhongir,2016,June,576200
686,Yadadri Bhongir,2016,July,576200
796,Yadadri Bhongir,2016,August,576200
906,Yadadri Bhongir,2016,September,576200
1016,Yadadri Bhongir,2016,October,584800
1126,Yadadri Bhongir,2016,November,681000
1236,Yadadri Bhongir,2016,December,462800
27,Adilabad,2017,January,318799
137,Adilabad,2017,February,83316
247,Adilabad,2017,March,27508
357,Adilabad,2017,April,13946
467,Adilabad,2017,May,11752
577,Adilabad,2017,June,26859
687,Adilabad,2017,July,52386
797,Adilabad,2017,August,34876
907,Adilabad,2017,September,42699
1017,Adilabad,2017,October,41666
1127,Adilabad,2017,November,117322
1237,Adilabad,2017,December,54251
28,Bhadradri Kothagudem ,2017,January,302315
138,Bhadradri Kothagudem ,2017,February,251359
248,Bhadradri Kothagudem ,2017,March,243943
358,Bhadradri Kothagudem ,2017,April,667459
468,Bhadradri Kothagudem ,2017,May,311626
578,Bhadradri Kothagudem ,2017,June,351742
688,Bhadradri Kothagudem ,2017,July,258114
798,Bhadradri Kothagudem ,2017,August,316438
908,Bhadradri Kothagudem ,2017,September,381784
1018,Bhadradri Kothagudem ,2017,October,334504
1128,Bhadradri Kothagudem ,2017,November,281515
1238,Bhadradri Kothagudem ,2017,December,393518
29,Hyderabad,2017,January,1924695
139,Hyderabad,2017,February,1886698
249,Hyderabad,2017,March,1783903
359,Hyderabad,2017,April,2366793
469,Hyderabad,2017,May,2266793
579,Hyderabad,2017,June,2007060
689,Hyderabad,2017,July,1890870
799,Hyderabad,2017,August,1976980
909,Hyderabad,2017,September,2011280
1019,Hyderabad,2017,October,2202316
1129,Hyderabad,2017,November,1971438
1239,Hyderabad,2017,December,4871416
30,Jagtial ,2017,January,174477
140,Jagtial ,2017,February,159659
250,Jagtial ,2017,March,323658
360,Jagtial ,2017,April,330540
470,Jagtial ,2017,May,468038
580,Jagtial ,2017,June,418103
690,Jagtial ,2017,July,247254
800,Jagtial ,2017,August,386458
910,Jagtial ,2017,September,143102
1020,Jagtial ,2017,October,248504
1130,Jagtial ,2017,November,348042
1240,Jagtial ,2017,December,393566
31,Jangaon ,2017,January,12280
141,Jangaon ,2017,February,12610
251,Jangaon ,2017,March,8450
361,Jangaon ,2017,April,9788
471,Jangaon ,2017,May,12130
581,Jangaon ,2017,June,13750
691,Jangaon ,2017,July,16050
801,Jangaon ,2017,August,15680
911,Jangaon ,2017,September,15600
1021,Jangaon ,2017,October,16130
1131,Jangaon ,2017,November,16360
1241,Jangaon ,2017,December,16880
32,Jayashankar Bhoopalpally,2017,January,96560
142,Jayashankar Bhoopalpally,2017,February,96850
252,Jayashankar Bhoopalpally,2017,March,81400
362,Jayashankar Bhoopalpally,2017,April,90700
472,Jayashankar Bhoopalpally,2017,May,91150
582,Jayashankar Bhoopalpally,2017,June,93650
692,Jayashankar Bhoopalpally,2017,July,94700
802,Jayashankar Bhoopalpally,2017,August,118350
912,Jayashankar Bhoopalpally,2017,September,112600
1022,Jayashankar Bhoopalpally,2017,October,115250
1132,Jayashankar Bhoopalpally,2017,November,116800
1242,Jayashankar Bhoopalpally,2017,December,723000
33,Jogulamba Gadwal ,2017,January,214887
143,Jogulamba Gadwal ,2017,February,481110
253,Jogulamba Gadwal ,2017,March,155013
363,Jogulamba Gadwal ,2017,April,131426
473,Jogulamba Gadwal ,2017,May,131426
583,Jogulamba Gadwal ,2017,June,160182
693,Jogulamba Gadwal ,2017,July,160182
803,Jogulamba Gadwal ,2017,August,131485
913,Jogulamba Gadwal ,2017,September,123733
1023,Jogulamba Gadwal ,2017,October,152898
1133,Jogulamba Gadwal ,2017,November,188170
1243,Jogulamba Gadwal ,2017,December,214887
34,Kamareddy ,2017,January,58
144,Kamareddy ,2017,February,50
254,Kamareddy ,2017,March,41
364,Kamareddy ,2017,April,46
474,Kamareddy ,2017,May,60
584,Kamareddy ,2017,June,41
694,Kamareddy ,2017,July,41
804,Kamareddy ,2017,August,40
914,Kamareddy ,2017,September,41
1024,Kamareddy ,2017,October,38
1134,Kamareddy ,2017,November,43
1244,Kamareddy ,2017,December,41
35,Karimnagar ,2017,January,14425
145,Karimnagar ,2017,February,10845
255,Karimnagar ,2017,March,9625
365,Karimnagar ,2017,April,8630
475,Karimnagar ,2017,May,8890
585,Karimnagar ,2017,June,10542
695,Karimnagar ,2017,July,12350
805,Karimnagar ,2017,August,10952
915,Karimnagar ,2017,September,7576
1025,Karimnagar ,2017,October,8371
1135,Karimnagar ,2017,November,8705
1245,Karimnagar ,2017,December,13065
36,Khammam,2017,January,132528
146,Khammam,2017,February,115470
256,Khammam,2017,March,101878
366,Khammam,2017,April,135920
476,Khammam,2017,May,138799
586,Khammam,2017,June,138158
696,Khammam,2017,July,105102
806,Khammam,2017,August,129159
916,Khammam,2017,September,140821
1026,Khammam,2017,October,155943
1136,Khammam,2017,November,110800
1246,Khammam,2017,December,137825
37,Komaram Bheem Asifabad,2017,January,2241
147,Komaram Bheem Asifabad,2017,February,2490
257,Komaram Bheem Asifabad,2017,March,2767
367,Komaram Bheem Asifabad,2017,April,3074
477,Komaram Bheem Asifabad,2017,May,3416
587,Komaram Bheem Asifabad,2017,June,3796
697,Komaram Bheem Asifabad,2017,July,3713
807,Komaram Bheem Asifabad,2017,August,3665
917,Komaram Bheem Asifabad,2017,September,3934
1027,Komaram Bheem Asifabad,2017,October,14050
1137,Komaram Bheem Asifabad,2017,November,3627
1247,Komaram Bheem Asifabad,2017,December,4218
38,Mahabubabad ,2017,January,13260
148,Mahabubabad ,2017,February,13045
258,Mahabubabad ,2017,March,9100
368,Mahabubabad ,2017,April,9140
478,Mahabubabad ,2017,May,10220
588,Mahabubabad ,2017,June,10130
698,Mahabubabad ,2017,July,10170
808,Mahabubabad ,2017,August,12520
918,Mahabubabad ,2017,September,13140
1028,Mahabubabad ,2017,October,13750
1138,Mahabubabad ,2017,November,13560
1248,Mahabubabad ,2017,December,13780
39,Mahbubnagar,2017,January,446135
149,Mahbubnagar,2017,February,805392
259,Mahbubnagar,2017,March,178256
369,Mahbubnagar,2017,April,208694
479,Mahbubnagar,2017,May,214209
589,Mahbubnagar,2017,June,179210
699,Mahbubnagar,2017,July,179099
809,Mahbubnagar,2017,August,215229
